ucb_1_sample_1pi_0.25,0.9940000000000001,0.97,0.9660333333333334,0.96445,0.9645999999999999
ucb_1_sample_1pi_0.5,0.9933,0.9679500000000001,0.9650666666666666,0.96255,0.9603400000000001
ucb_1_sample_1pi_0.75,0.9925,0.9634500000000001,0.9536666666666667,0.9554,0.95996
ucb_1_sample_2pi_0.25,0.9929,0.9626999999999999,0.9606666666666666,0.9652000000000001,0.9676200000000001
ucb_1_sample_2pi_0.5,0.9926999999999999,0.9625999999999999,0.9602999999999999,0.9652749999999999,0.9679
ucb_1_sample_2pi_0.75,0.9929,0.9633499999999999,0.9603333333333334,0.964425,0.9674400000000001
ucb_mixture_2_sample_1pi_0.25,0.9916,0.96735,0.9724999999999999,0.9751,0.97468
ucb_mixture_2_sample_1pi_0.5,0.9914999999999999,0.9672499999999999,0.9727,0.9750249999999999,0.97446
ucb_mixture_2_sample_1pi_0.75,0.9916,0.9673000000000002,0.9724999999999999,0.974825,0.97438
ucb_mixture_2_sample_2pi_0.25,0.9906,0.9677999999999999,0.9720000000000001,0.97475,0.9757999999999999
ucb_mixture_2_sample_2pi_0.5,0.9905000000000002,0.96775,0.9719666666666666,0.9746,0.9756
ucb_mixture_2_sample_2pi_0.75,0.9908000000000001,0.96785,0.9718,0.9743499999999999,0.9756
